"File","SampleRate","Channels","Layout"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ffbd.ogg","44100","2","stereo"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\fifth.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\first.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\fourth.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\fpm.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\gce.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\gt.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\i.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\i0.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\i1.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ig.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\int.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\is.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\island.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\j.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\js1.ogg","44100","2","stereo"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\js2.ogg","44100","2","stereo"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\js3.ogg","44100","2","stereo"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\kd1.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\kd2.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\kd3.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\kd4.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\kd5.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap1.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap10.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap11.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap12.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap13.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap14.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap15.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap16.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap17.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap18.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap19.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap2.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap20.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap21.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap22.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap23.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap24.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap25.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap26.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap27.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap28.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap29.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap3.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap30.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap31.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap32.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap33.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap4.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap5.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap6.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap7.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap8.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\keymap9.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ki.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\kme.ogg","44100","2","stereo"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\kmp1.ogg","44100","2","stereo"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\kmp2.ogg","44100","2","stereo"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\kmp3.ogg","44100","2","stereo"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\knots.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\kp1.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\kp2.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\lb.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ld1.ogg","44100","2","stereo"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ld2.ogg","44100","2","stereo"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ld3.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ld4.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ldne.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\lerr.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\l_1.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\l_2.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\l_3.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_1.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_2.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_2_1.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_2_2.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_2_3.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_2_4.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_2_5.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_2_6.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_3.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_4.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_5.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_5_1.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_5_1_1.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_5_1_2.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_5_1_i.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_5_2.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_5_3.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_5_3_1.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_5_3_2.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_5_3_3.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_5_3_i.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_5_4.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_5_4_1.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_5_4_2.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_5_4_i.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_6.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_6_i.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_6_ij.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_7.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_7_i.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_i.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mainmenu_ijs.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mc.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\menuc_1.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\menuc_2.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\menuc_2_1.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\menuc_2_2.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\menuc_3.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\menuc_3_1.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\menuc_3_2.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\menuc_3_2_1.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\menuc_3_2_2.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\menuc_3_2_3.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\menuc_3_2_4.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\menuc_3_2_i.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\menuc_4.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\menuc_4_1.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\menuc_4_2.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\menuc_5.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\menuc_6.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\menuc_7.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mi.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mis.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\miu.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\mius.wav","44100","2","unknown"
